ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.),lat,long
บ้านห้วยกบ,ต.หนองลู อ.สังขละบุรี จ.กาญจนบุรี,00:00 น.,35.5,15.212612273165446,98.36849749088287
ทต.ช้างเผือก,ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,00:00 น.,0.6,18.81010274919089,98.96994531154633
หน่วยพิทักษ์ป่าคลองหยา,ต.เขาพัง อ.บ้านตาขุน จ.สุราษฎร์ธานี,23:00 น.,37,9.224761691082803,98.60640943050385
ทต.ทับช้าง,ต.ทับช้าง อ.สอยดาว จ.จันทบุรี,00:00 น.,11.8,13.23460873162573,102.18733012676239
เขตทุ่งครุ,ต.ทุ่งครุ อ.ทุ่งครุ จ.กรุงเทพมหานคร,00:00 น.,10,13.611349162956408,100.5087822675705
บ้านด่าน,ต.บ้านด่าน อ.อรัญประเทศ จ.สระแก้ว,00:00 น.,3,13.721552635457119,102.46502459049225
น้ำตกไทรคู่,ต.ทองมงคล อ.บางสะพาน จ.ประจวบคีรีขันธ์,00:00 น.,12,11.248086700351248,99.33547675609589
บ้านเวียคะดี้,ต.หนองลู อ.สังขละบุรี จ.กาญจนบุรี,00:00 น.,26.5,15.18440912927912,98.32573771476746
บ้านตึงเหนือ,ต.วังทอง อ.วังเหนือ จ.ลำปาง,17:00 น.,11,19.039208863872638,99.70799803733826
บ้านพันวาล 4,ต.รับร่อ อ.ท่าแซะ จ.ชุมพร,00:00 น.,20,10.796095307338822,98.9769995212555
บ้านตามูล,ต.ทรายขาว อ.สอยดาว จ.จันทบุรี,00:00 น.,10.5,13.081176476715976,102.26099967956543
หน่วยพิทักษ์อุทยานแห่งชาติที่ ผท.๑ (ปากบอก),ต.บ้านร้อง อ.งาว จ.ลำปาง,17:00 น.,11,19.058700491582382,99.77549850940704
เมืองสระแก้ว,ต.สระขวัญ อ.เมืองสระแก้ว จ.สระแก้ว,00:00 น.,6.4,13.80959170999193,102.05429255962372
ทต.ดอนตาล,ต.ดอนตาล อ.ดอนตาล จ.มุกดาหาร,00:00 น.,2.2,16.31839933007644,104.91894543170929
เขื่องใน,ต.เขื่องใน อ.เขื่องใน จ.อุบลราชธานี,00:00 น.,2,15.322458722986289,104.54648852348328
นาดี,ต.สะพานหิน อ.นาดี จ.ปราจีนบุรี,00:00 น.,12.2,14.133516875496335,101.72764241695404
ศูนย์พัฒนาเด็กเล็ก อบต.สูงเม่น,ต.สูงเม่น อ.สูงเม่น จ.แพร่,16:00 น.,0.4,18.062643807141527,100.09523928165436
ตรอน,ต.หาดสองแคว อ.ตรอน จ.อุตรดิตถ์,14:00 น.,10.6,17.418352382270644,100.13078927993774
บ้านป่ากล้วย,ต.แม่สะเรียง อ.แม่สะเรียง จ.แม่ฮ่องสอน,00:00 น.,10.5,18.164141105174696,97.95499742031097
บ้านสะโทย,ต.วังสรรพรส อ.ขลุง จ.จันทบุรี,00:00 น.,52,12.561464683682239,102.26500153541565
นครพนม สกษ.,ต.ในเมือง อ.เมืองนครพนม จ.นครพนม,22:00 น.,2.5,17.443057371476723,104.77361261844635
บ้านแม่สิน,ต.นาพูน อ.วังชิ้น จ.แพร่,00:00 น.,28.5,17.802293371173157,99.85799789428711
บ้านหัวเขา,ต.ห้วยยาง อ.ทับสะแก จ.ประจวบคีรีขันธ์,00:00 น.,2.5,11.662391939717557,99.63699996471405
อบต.หงษ์เจริญ,ต.หงษ์เจริญ อ.ท่าแซะ จ.ชุมพร,00:00 น.,11,10.779722624768084,99.19106662273407
บ้านกงรถ,ต.กงรถ อ.ห้วยแถลง จ.นครราชสีมา,00:00 น.,0.4,14.999401190402011,102.74900078773499
สะพานบังอี่,ต.โพธิ์ไทร อ.ดอนตาล จ.มุกดาหาร,00:00 น.,1.8,16.345832766161653,104.88988637924194
มัสยิดกาวมินมูฮายีริน,ต.ปาล์มพัฒนา อ.มะนัง จ.สตูล,00:00 น.,29.2,7.088324249082689,100.00195741653442
อบต.คลองศก,ต.คลองศก อ.พนม จ.สุราษฎร์ธานี,00:00 น.,45.8,8.890472370265089,98.661367893219
อบต.ละหานทราย,ต.ละหานทราย อ.ละหานทราย จ.บุรีรัมย์,22:00 น.,0.6,14.39569814527182,102.84723401069641
หน่วยพิทักษ์อุทยานแห่งชาติที่ ขญ.๑๗ (กลางดง),ต.พญาเย็น อ.ปากช่อง จ.นครราชสีมา,16:00 น.,0.4,14.549607111406168,101.26519203186035
บ้านมหาวัน,ต.มหาวัน อ.แม่สอด จ.ตาก,00:00 น.,3.5,16.577567806915333,98.59499931335449
บ้านเสียบญวน,ต.วังใหม่ อ.เมืองชุมพร จ.ชุมพร,23:00 น.,6,10.507211980713164,99.06499743461609
