ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีบ้านวังอ้ายโพธิ์,ต.บ้านไร่ อ.เทพสถิต จ.ชัยภูมิ ,05:00 ,21.5
สถานีบ้านท่าวังแคน,ต.ศรีสองรัก อ.เมืองเลย จ.เลย ,06:00 ,21.5
สถานีรร. คำอาฮวนศรีสุราษฎร์วิทยา,ต.คำอาฮวน อ.เมืองมุกดาหาร จ.มุกดาหาร ,06:00 ,21
สถานีชุมชนแม่ตาลน้อย,ต.เวียงตาล อ.ห้างฉัตร จ.ลำปาง ,06:00 ,20.8
สถานีบ้านโนนเขวา,ต.โนนทอง อ.เกษตรสมบูรณ์ จ.ชัยภูมิ ,05:00 ,20.5
สถานีบ้านบ่อหอย,ต.ยาบหัวนา อ.เวียงสา จ.น่าน ,06:00 ,20.5
สถานีวัดบ้านน้ำเย็น,ต.เมือง อ.กันทรลักษ์ จ.ศรีสะเกษ ,06:00 ,20.2
สถานีอุบลราชธานี สกษ.,ต.ท่าช้าง อ.สว่างวีระวงศ์ จ.อุบลราชธานี ,04:00 ,20.1
สถานีบ้านไผ่โทน,ต.ไผ่โทน อ.ร้องกวาง จ.แพร่ ,06:00 ,20
สถานีชุมชนบ้านบุ่งคล้า,ต.บุ่งคล้า อ.บุ่งคล้า จ.บึงกาฬ ,06:00 ,20
สถานีสะพานห้วยหลวง,ต.วัดหลวง อ.โพนพิสัย จ.หนองคาย ,06:00 ,19.8
สถานีรพสต.บ้านหนองไคร้,ต.หนองตอง อ.หางดง จ.เชียงใหม่ ,06:00 ,19.8
สถานีอบต.บึงชำอ้อ,ต.บึงชำอ้อ อ.หนองเสือ จ.ปทุมธานี ,06:00 ,19.8
สถานีบ้านนาลานข้าว,ต.วังยาว อ.ด่านซ้าย จ.เลย ,06:00 ,19.5
สถานีบ้านห้วยน้ำเค็ม,ต.บ้านเสด็จ อ.เมืองลำปาง จ.ลำปาง ,05:00 ,19.5
สถานีบ้านห้วยธนู,ต.ตาลชุม อ.ท่าวังผา จ.น่าน ,06:00 ,19.5
สถานีบ้านใหม่ศรีจำปา,ต.หนองหมากฝ้าย อ.วัฒนานคร จ.สระแก้ว ,05:00 ,19
สถานีเมืองปราจีนบุรี,ต.หน้าเมือง อ.เมืองปราจีนบุรี จ.ปราจีนบุรี ,06:00 ,19
สถานีบ้านป่าข้าวหลาม,ต.นาโป่ง อ.เมืองเลย จ.เลย ,05:00 ,19
สถานีบ้านหุบผึ้ง,ต.ห้วยทราย อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ ,06:00 ,19
สถานีอบต.พังทุย,ต.พังทุย อ.น้ำพอง จ.ขอนแก่น ,06:00 ,19
สถานีปาย,ต.เวียงเหนือ อ.ปาย จ.แม่ฮ่องสอน ,06:00 ,18.8
สถานีบ้านนางแลใน (บ้านลิไข่),ต.บ้านดู่ อ.เมืองเชียงราย จ.เชียงราย ,06:00 ,18.5
