,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,07Z,08Z,10Z,11Z,12Z,13Z,14Z,15Z,16Z,17Z,18Z,19Z,20Z,21Z,22Z,SUM,year,month,day
64,65,426,Lop Buri,Central,14.79972222,100.6283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.1,0.1,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,2020,06,02
65,66,425,Suphan Buri,Central,14.47444444,100.1388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.25,0.45,1.04,0.45,0.0,0.0,0.0,0.0,0.0,0.0,13.69,2020,06,02
66,67,427,Uthong (1),Central,14.30361111,99.86472222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.25,0.75,0.25,0.1,0.0,0.0,0.0,0.0,0.0,5.22,2020,06,02
67,68,421,Thong Pha Phum,Central,14.74222222,98.63638889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,06,02
68,69,450,Kanchanaburi,Central,14.0225,99.53583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.35,2020,06,02
69,70,464,Ratcha Buri (1),Central,13.48930556,99.79238889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.55,0.95,0.55,0.75,0.0,0.85,0.75,0.0,0.0,0.0,9.02,2020,06,02
70,71,451,Kampheang Saen (1),Central,14.01166667,99.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.55,0.85,0.35,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2020,06,02
71,72,419,Pathum Thani (1),Central,14.1,100.616,0.0,7.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,4.87,2.12,1.75,0.45,0.1,0.0,0.0,0.0,0.0,0.0,28.140000000000004,2020,06,02
72,73,420,Samut Prakan,Central,13.51666694,100.7616667,9.25,2.12,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,14.5,6.25,1.25,0.75,0.65,0.0,0.0,0.0,0.0,35.57,2020,06,02
73,74,429,Suvarnabhumi Airport,Central,13.68638889,100.7675,0.75,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,3.37,1.25,0.85,0.35,0.75,0.0,0.0,0.0,23.320000000000004,2020,06,02
