,ID,WMO_CODE,NAME_EN,Region,Latitude,Longitude,00Z,01Z,02Z,03Z,04Z,05Z,06Z,08Z,09Z,11Z,12Z,13Z,14Z,15Z,17Z,18Z,19Z,20Z,21Z,22Z,23Z,SUM,year,month,day
47,48,407,Ubon Ratchathani,Northeastern,15.25000278,104.8666694,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,2020,05,29
48,49,408,Ubon Ratchathani (1),Northeastern,15.24072222,105.01966670000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
49,50,409,Si Saket (1),Northeastern,15.00000028,104.0500003,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2020,05,29
50,51,416,Tha Tum (2),Northeastern,15.31666694,103.68333359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,2020,05,29
51,52,432,Surin,Northeastern,14.88333361,103.5000003,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,2020,05,29
52,53,433,Surin (1),Northeastern,14.88333361,103.4500003,0.0,0.0,0.0,0.0,0.0,0.55,0.65,0.65,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,2020,05,29
53,54,431,Nakhon Ratchasima,Northeastern,14.96830556,102.0860278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.25,19.5,2.87,3.62,0.65,0.1,0.0,0.0,0.0,0.0,0.0,0.0,27.540000000000003,2020,05,29
54,55,435,Pakchong (1),Northeastern,14.64388889,101.3319444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020,05,29
55,56,434,Chok Chai (2),Northeastern,14.71888889,102.1686111,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.95,0.0,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,3.1,2020,05,29
56,57,437,Buri Ram,Northeastern,15.22575,103.2480833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
57,58,436,Nang Rong (2),Northeastern,14.58333361,102.8000003,0.1,0.0,0.1,0.1,0.0,0.35,0.55,0.0,0.25,0.0,0.0,0.25,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2020,05,29
58,59,400,Nakhon Sawan,Central,15.67183333,100.1323611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
59,60,401,Takfa (1),Central,15.34944444,100.5302778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
60,61,402,Chai Nat,Central,15.15000278,100.18333359999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.55,2020,05,29
61,62,410,U Thai Thani,Central,15.37416667,100.0388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
62,63,415,Ayuthaya (1),Central,14.53472222,100.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1000000014901161,2020,05,29
63,64,418,Bua Chum (2),Central,15.10000028,101.6166669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.45,0.0,0.55,0.0,0.0,0.0,0.0,1.1,2020,05,29
64,65,426,Lop Buri,Central,14.79972222,100.6283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,2020,05,29
65,66,425,Suphan Buri,Central,14.47444444,100.1388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.47,2020,05,29
66,67,427,Uthong (1),Central,14.30361111,99.86472222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.12,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2020,05,29
67,68,421,Thong Pha Phum,Central,14.74222222,98.63638889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2020,05,29
68,69,450,Kanchanaburi,Central,14.0225,99.53583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
69,70,464,Ratcha Buri (1),Central,13.48930556,99.79238889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.95,1.95,2.12,0.85,0.45,0.45,1.04,0.55,0.1,0.0,13.71,2020,05,29
70,71,451,Kampheang Saen (1),Central,14.01166667,99.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.55,2020,05,29
71,72,419,Pathum Thani (1),Central,14.1,100.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.1,0.35,0.95,0.45,0.0,0.0,0.25,2.45,2020,05,29
72,73,420,Samut Prakan,Central,13.51666694,100.7616667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.25,1.95,1.25,0.55,0.55,0.55,0.0,0.35,6.299999994039535,2020,05,29
73,74,429,Suvarnabhumi Airport,Central,13.68638889,100.7675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,1.85,5.25,0.35,0.1,0.25,0.0,0.35,8.599999994039536,2020,05,29
74,75,456,Don Muang Airport,Central,13.91916667,100.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.55,2.37,1.15,1.04,0.1,0.0,0.0,0.25,7.01,2020,05,29
75,76,455,Sirikit Center,Central,13.72638889,100.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.55,1.45,6.25,0.65,0.0,0.35,0.0,0.45,10.14999998807907,2020,05,29
76,77,454,Bangkok Port,Central,13.70694444,100.5680556,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,3.37,2.37,5.25,0.45,0.0,0.45,0.0,0.55,16.860000011920928,2020,05,29
77,78,453,Bang Na (1),Central,13.66638889,100.6061111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,1.95,5.75,0.25,0.0,0.25,0.0,0.55,12.37000001192093,2020,05,29
78,79,457,Bangkok Pilot,Central,13.37722222,100.5994444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,3.37,1.04,0.55,0.25,0.45,0.0,0.25,6.76,2020,05,29
79,80,430,Prachin Buri,Eastern,14.05091667,101.3693056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,2.37,2.62,1.35,0.0,0.0,1.95,0.0,0.0,0.1,0.0,0.35,14.989999994039534,2020,05,29
80,81,439,Kabin Buri (2),Eastern,13.98333361,101.7072222,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,2.37,1.35,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69,2020,05,29
81,82,440,Sa Kaeo (2),Eastern,13.78888889,102.0347222,4.87,1.85,2.37,1.55,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64,2020,05,29
82,83,462,Aranyaprathet,Eastern,13.70000028,102.5833336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,2020,05,29
83,84,458,Chachoengsao (1),Eastern,13.51555556,101.4583333,1.65,2.87,0.65,0.0,0.0,0.0,0.0,0.0,0.0,7.25,4.62,0.0,0.0,0.0,0.0,0.0,0.25,0.95,2.12,1.15,0.65,22.159999976158144,2020,05,29
84,85,459,Chon Buri,Eastern,13.36666694,100.9833336,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.45,1.85,1.25,1.15,0.0,0.25,9.17,2020,05,29
85,86,463,Laem Chabang,Eastern,13.07694444,100.8758333,0.45,3.62,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,6.75,0.45,0.0,0.0,0.0,11.72,2020,05,29
86,87,460,Ko Sichang,Eastern,13.16166667,100.8019444,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.35,0.0,0.1,0.0,0.1,2.100000001490116,2020,05,29
87,88,461,Pattaya,Eastern,12.92,100.8694444,0.1,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,38.5,0.0,0.25,0.0,44.02,2020,05,29
88,89,477,Sattahip,Eastern,12.68333361,100.9833336,2.12,1.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,3.97,2020,05,29
89,90,478,Rayong,Eastern,12.61702778,101.34075,2.62,1.15,2.87,0.65,1.65,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.65,0.0,0.55,5.25,11.5,0.65,1.35,31.110000023841856,2020,05,29
90,91,479,Huai Pong (1),Eastern,12.73333361,101.1333336,3.62,1.95,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,3.12,0.1,0.55,0.65,11.689999976158145,2020,05,29
91,92,480,Chanthaburi,Eastern,12.61666694,102.1133333,2.87,4.37,0.95,0.85,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.95,3.37,16.15999988555908,2020,05,29
92,93,481,Pluei (1),Eastern,12.50861111,102.1730556,0.0,1.45,3.12,0.85,1.85,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,1.55,3.37,15.789999885559082,2020,05,29
93,94,501,Khlong Yai,Eastern,11.76666694,102.8833336,0.0,0.1,1.04,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.45,0.0,0.0,0.0,2.5900000000000003,2020,05,29
94,95,465,Phetchaburi,Southern EastCoast,12.99930556,100.0605278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,05,29
